id;prontuario;nome;cpf;email;cep;logradouro;numero;complemento;bairro;cidade;u_f
1;31619;Maryland Tanzanian Shilling Lights;e-enable Pl;Ibrahim.Kuvalis@hotmail.com;Regional s;Unbranded Concrete Soap Bouvet Island (Bouvetoya);Tactics Cr;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;AC
2;76245;USB scalable;Bosnia and ;Graciela_Kuvalis14@yahoo.com;Intuitive ;Baby Credit Card Account Nevada;Persistent;front-end Intuitive vortals;Communications;Customer;AC
3;61145;Clothing;Personal Lo;Theodore_Bahringer15@hotmail.com;Maine Chec;Unbranded programming District;Concrete;Pizza yellow programming;FTP;Persistent Investment Account;AC
4;463;leading-edge synergize;JSON Nation;Fae_Kris45@yahoo.com;Assimilate;Devolved;Avon web-r;frame multi-byte modular;Electronics;Bedfordshire Strategist;AC
5;8534;Officer Bedfordshire;application;Cornell.Schmidt20@yahoo.com;orchid Too;generating Arkansas;synthesize;Macedonia Japan;target Rhode Island;Intelligent;AC
6;37330;tertiary;Indonesia a;Carli_Spencer65@hotmail.com;Toys white;olive;Kids Incre;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;AC
7;29314;Senior;deposit;Cordell12@hotmail.com;COM;infomediaries Chief;Money Mark;Alaska solution-oriented;best-of-breed generate;applications context-sensitive;AC
8;56577;Agent Squares;supply-chai;Jolie_Gleichner69@gmail.com;incentiviz;navigating Liaison;Corporate ;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;AC
9;26368;system-worthy pixel Phased;withdrawal ;Rodrigo.Johnson@hotmail.com;Ireland Fa;Generic;Business-f;International card;West Virginia Keys;Factors Soft;AC
10;26226;Auto Loan Account;indexing;Lauryn_Crist@hotmail.com;Course rob;Buckinghamshire Nepalese Rupee;Forge Lice;auxiliary;Engineer Toys Fantastic;Licensed;AC
